,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
43193,tt0065913,movie,The Garden of Delights,El jardín de las delicias,0,1970,95,Drama,6.6,472,Drama
519772,tt11957450,movie,Blinders,Blinders,0,2020,90,Thriller,7.3,24,Thriller
621967,tt1632468,short,Believe It or Not (Second Series) #5,Believe It or Not (Second Series) #5,0,1932,8,"Documentary,Short",7.0,7,Documentary
781508,tt3194344,tvEpisode,Episode #15.39,Episode #15.39,0,2013,81,"Action,Sport",6.2,12,Action
749203,tt2649366,movie,Punishment,Punishment,0,2013,117,Thriller,2.9,72,Thriller
702431,tt2176934,short,Glimpscapes,Glimpscapes,0,2012,4,"Animation,Sci-Fi,Short",5.4,5,Animation
260684,tt0506408,tvEpisode,The Moneylender,The Moneylender,0,1955,25,"Action,Adventure,Family",7.1,70,Action
416976,tt0920550,tvSeries,Windstärke 8 - Das Auswandererschiff 1855,Windstärke 8 - Das Auswandererschiff 1855,0,2005,45,Documentary,7.2,8,Documentary
1083130,tt9354248,tvEpisode,America's Doomsday Town,America's Doomsday Town,0,2018,42,Documentary,7.6,10,Documentary
153981,tt0256680,tvMovie,Le chasseur de la nuit,Le chasseur de la nuit,0,1993,99,"Adventure,Family",7.2,6,Adventure
154556,tt0258014,short,Land for Pioneers,Land for Pioneers,0,1944,16,"Documentary,Short",3.8,5,Documentary
344187,tt0697811,tvEpisode,The Wig Master,The Wig Master,0,1996,23,Comedy,8.1,1646,Comedy
826275,tt3890560,short,Bikini,Bikini,0,2014,20,"Documentary,Drama,Short",5.0,10,Documentary
955518,tt6216212,tvEpisode,A Random Killing,A Random Killing,0,2018,50,"Biography,Crime,Drama",8.1,2088,Biography
909527,tt5424076,tvEpisode,Episode #14.5,Episode #14.5,0,2016,57,"Comedy,News,Talk-Show",7.1,37,Comedy
784806,tt3243196,movie,The Righteous Thief,The Righteous Thief,0,2009,117,"Action,Adventure,Crime",6.2,104,Action
67889,tt0094719,short,Because the Dawn,Because the Dawn,0,1988,40,"Horror,Short",7.1,9,Horror
1014068,tt7475006,movie,Main Tumhare Bachche ki Maa Banne Waali Hoon,Main Tumhare Bachche ki Maa Banne Waali Hoon,0,2017,45,Romance,6.8,101,Romance
298860,tt0592704,tvEpisode,Home Is Where You Run Away From,Home Is Where You Run Away From,0,1968,30,"Comedy,Family",7.9,58,Comedy
853620,tt4393006,tvEpisode,Hibernaculum,Hibernaculum,0,2015,43,"Crime,Drama,Fantasy",8.1,723,Crime
486798,tt11132378,tvEpisode,Time Capsule,Time Capsule,0,2019,10,"Action,Animation,Comedy",6.1,8,Action
630207,tt1680043,tvMovie,Saint Philip Neri: I Prefer Heaven,Preferisco il paradiso,0,2010,200,Drama,7.9,317,Drama
859202,tt4490046,tvEpisode,Udderly Frozen,Udderly Frozen,0,2015,42,"Documentary,Reality-TV",9.3,7,Documentary
1045737,tt8273986,tvEpisode,Ghost Farm,Ghost Farm,0,2018,24,"Adventure,Animation,Family",7.6,7,Adventure
320119,tt0642233,tvEpisode,Buck Has a Belly Ache,Buck Has a Belly Ache,0,1991,23,Comedy,7.3,370,Comedy
